CENG114,Computer Programming II,1,5,C,D,95,OGR.GOR. YUSUF EVREN AYKAC,3
CHEM101,GENERAL CHEMISTRY,1,5,C,S,110,DOC.DR. NURAY CELEBI,3
MATH104,Applied Linear Algebra,1,5,C,D,103,DOC.DR. MUHAMMED ABDULLAH BULBUL,3
MATH102,CALCULUS II,1,6,C,S,116,DR. OGR. UYESI SELIM BAHADIR,3
MATH106,PROBABILITY AND STATISTICS,1,6,C,S,79,DR. OGR. UYESI OSMAN SERDAR GEDIK,3
PHYS102,PHYSICS II,1,6,C,S,113,PROF.DR. ABDULLAH YILDIZ,3
TDL102,TURK DILI II,1,1,C,S,72,DOC.DR. MUSTAFA ARSLAN,3
TIT101,TURK INKILAP TARIHI I,1,1,C,S,101,DR. OGR. UYESI TEKIN ONAL,3
CENG202,Data Structures,2,5,C,D,99,DR. OGR. UYESI SHAFQAT UR REHMAN,3
CENG204,Computer System Architecture,2,5,C,D,86,DR. OGR. UYESI TAREK NAJJAR,3
CENG206,Programming Languages,2,5,C,D,135,DR. OGR. UYESI FAHREDDIN SUKRU TORUN,2+1
ENGR202,ENGINEERING MATHEMATICS II,2,6,C,S,104,DR. OGR. UYESI SELIM BAHADIR,3
ENGR254,PRINCIPLES OF BODY MOVEMENT,2,3,E,S,50,DR. OGR. UYESI OZKAN KILIC,3
CENG302,Formal Languages and Automata Theory,3,5,C,D,86,DR. OGR. UYESI FADI YILMAZ,2+1
CENG304,Computer Networks,3,5,C,D,93,DR. OGR. UYESI MUSTAFA YENIAD,3
CENG306,Software Engineering,3,5,C,D,109,DOC.DR. FATIH NAR,3
CENG310,Human Computer Interaction,3,5,E,D,30,DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL,3
CENG311,WEB TECHNOLOGY APPLICATIONS,3,5,E,D,50,DR. OGR. UYESI FADI YILMAZ,3
CENG342,Parallel Programming I,3,5,E,D,45,DR. OGR. UYESI FAHREDDIN SUKRU TORUN,2+1
CENG404,Special Topics in CENG II,4,5,E,D,25,DR. OGR. UYESI SHAFQAT UR REHMAN,3
CENG415,Applications of Computer Graphics,4,5,E,D,25,DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL,2+1
CENG424,COMPUTER SIMULATION AND MODELLING,4,5,E,D,30,DR. OGR. UYESI TAREK NAJJAR,3
CENG427,Programming of Mobile Devices,4,5,E,D,33,AR. GOR. DR. IBRAHIM ATLI,3
CENG428,NEURAL NETWORKS,4,5,E,D,25,DOC.DR. FATIH NAR,2+1
CENG431,INTRODUCTION TO DESING PATTERNS,4,5,E,D,25,OGR.GOR. YUSUF EVREN AYKAC,3
CENG451,Principles of Cyber Physical Systems,4,5,E,D,25,PROF.DR. REMZI YILDIRIM,3
CENG462,GAME PROGRAMMING PIPELINE,4,5,E,D,25,OGR.GOR. YUSUF EVREN AYKAC,3
CENG465,INTERNET OF THINGS AND ITS APPLICATIONS,4,5,E,D,25,PROF.DR. REMZI YILDIRIM,3
CENG474,COMMUNICATION AND NETWORK SECURITY,4,5,E,D,25,DR. OGR. UYESI FADI YILMAZ,3
